,record_id,month,day,year,district,city,tenure,income
0,1,7,16,1977,2,NA,O,
1,2,7,16,1977,3,NA,O,
2,3,7,16,1977,2,DM,R,
3,4,7,16,1977,7,DM,O,
4,5,7,16,1977,3,DM,O,
5,6,7,16,1977,1,PF,O,
6,7,7,16,1977,2,PE,R,
7,8,7,16,1977,1,DM,O,
8,9,7,16,1977,1,DM,R,
9,10,7,16,1977,6,PF,R,
0,35539,12,31,2002,15,SF,O,68.0
1,35540,12,31,2002,15,PB,R,23.0
2,35541,12,31,2002,15,PB,R,31.0
3,35542,12,31,2002,15,PB,R,29.0
4,35543,12,31,2002,15,PB,R,34.0
5,35544,12,31,2002,15,US,,
6,35545,12,31,2002,15,AH,,
7,35546,12,31,2002,15,AH,,
8,35547,12,31,2002,10,RM,R,14.0
9,35548,12,31,2002,7,DO,O,51.0
