,record_id,month,day,year,district,city,tenure,income
503,504,1,8,1978,3,OL,,
504,505,1,8,1978,13,DM,O,43.0
505,506,1,8,1978,2,,,
506,507,1,8,1978,2,DM,O,44.0
507,508,1,8,1978,20,DM,R,36.0
508,509,1,8,1978,3,,,
509,510,1,8,1978,13,PF,R,8.0
510,511,1,8,1978,2,DM,O,38.0
511,512,1,8,1978,9,DS,R,122.0
512,513,1,8,1978,2,OL,,
513,514,1,8,1978,9,PF,O,7.0
514,515,1,8,1978,9,DO,R,42.0
515,516,1,8,1978,9,DM,O,46.0
516,517,1,8,1978,2,PE,O,22.0
517,518,1,8,1978,2,DM,O,38.0
518,519,1,8,1978,2,DM,O,48.0
519,520,1,8,1978,3,PF,O,7.0
520,521,1,8,1978,2,DM,O,43.0
521,522,1,8,1978,2,DM,R,35.0
522,523,1,8,1978,2,DM,O,43.0
523,524,1,8,1978,20,DM,,
524,525,1,8,1978,6,DM,O,36.0
525,526,1,8,1978,9,DS,R,117.0
526,527,1,8,1978,2,DM,R,37.0
527,528,1,8,1978,20,DS,O,122.0
528,529,1,8,1978,9,DM,O,43.0
529,530,1,8,1978,13,DM,O,42.0
530,531,1,8,1978,20,,,
531,532,1,8,1978,2,PF,R,7.0
532,533,1,8,1978,2,DM,O,45.0
533,534,1,8,1978,2,OT,,
534,535,1,8,1978,7,,,
535,536,1,8,1978,22,,,
536,537,1,9,1978,14,OT,,
537,538,1,9,1978,17,DM,O,40.0
538,539,1,9,1978,17,DM,R,37.0
539,540,1,9,1978,17,DS,R,117.0
540,541,1,9,1978,11,DM,O,40.0
541,542,1,9,1978,1,DM,O,40.0
542,543,1,9,1978,4,DS,O,132.0
543,544,1,9,1978,14,OL,,
544,545,1,9,1978,1,DM,R,36.0
545,546,1,9,1978,11,,,
546,547,1,9,1978,8,OT,,
547,548,1,9,1978,8,DS,O,150.0
548,549,1,9,1978,11,DM,O,44.0
549,550,1,9,1978,14,DM,R,40.0
550,551,1,9,1978,4,DS,R,126.0
551,552,1,9,1978,11,DS,R,122.0
552,553,1,9,1978,8,DS,R,136.0
553,554,1,9,1978,14,,,
554,555,1,9,1978,14,DS,R,116.0
555,556,1,9,1978,17,DM,R,38.0
556,557,1,9,1978,11,DM,R,39.0
557,558,1,9,1978,1,DS,R,135.0
558,559,1,9,1978,14,DM,O,46.0
559,560,1,9,1978,17,DS,O,133.0
560,561,1,9,1978,11,DS,O,136.0
561,562,1,9,1978,19,,,
562,563,1,9,1978,23,,,
563,564,1,10,1978,18,DS,R,141.0
564,565,1,10,1978,12,,,
565,566,1,10,1978,18,DM,R,38.0
566,567,1,10,1978,12,DM,R,35.0
567,568,1,10,1978,21,OT,,
568,569,1,10,1978,5,DS,O,135.0
569,570,1,10,1978,5,OT,,
570,571,1,10,1978,18,DM,R,33.0
571,572,1,10,1978,18,DM,O,51.0
572,573,1,10,1978,5,DS,R,122.0
573,574,1,10,1978,18,DM,R,33.0
574,575,1,10,1978,18,DM,O,47.0
575,576,1,10,1978,18,DM,O,49.0
576,577,1,10,1978,21,OT,,
577,578,1,10,1978,18,DM,O,46.0
578,579,1,10,1978,5,DM,R,45.0
579,580,1,10,1978,12,DM,O,41.0
580,581,1,10,1978,10,,,
581,582,1,10,1978,15,,,
582,583,1,10,1978,16,,,
583,584,2,18,1978,3,OT,O,24.0
584,585,2,18,1978,2,DS,O,157.0
585,586,2,18,1978,13,DM,O,51.0
586,587,2,18,1978,2,OX,,
587,588,2,18,1978,2,,O,218.0
588,589,2,18,1978,20,DM,R,38.0
589,590,2,18,1978,2,PF,R,7.0
590,591,2,18,1978,6,DM,R,
591,592,2,18,1978,22,DM,O,45.0
592,593,2,18,1978,2,DM,O,52.0
593,594,2,18,1978,9,DM,O,50.0
594,595,2,18,1978,2,DM,O,51.0
